Dish Name,Image url,State,Cuisine,Preparation Time,Description,Diet,Ingredient
Roti Wrap,,Pan India,Indian,10 mins,Leftover roti wrapped with sabzi inside,Vegan,"Roti, Aloo Sabzi, Onion, Spices"
Pudla,,Gujarat,Gujarati,15 mins,Spiced besan pancake like chilla,Vegan,"Besan, Onion, Coriander, Chili"
Rice and Buttermilk,,South India,Indian,5 mins,Simple comfort food with curd and rice,Vegetarian,"Rice, Buttermilk, Mustard Seeds"
Chowkha with Rice,,Bihar,Bihari,25 mins,Roasted mashed brinjal or potato with rice,Vegan,"Brinjal/Potato, Mustard Oil, Garlic"
Pudina Rice,,South India,South Indian,25 mins,Minty rice with simple tadka,Vegan,"Mint, Rice, Garlic, Green Chili"
Hyderabadi Dum Biryani,,Hyderabad,South Indian,1.5 hrs,Layered biryani cooked with marinated meat and spices,Non-Vegetarian,"Basmati Rice, Chicken/Mutton, Yogurt, Spices"
Kolkata Biryani,,West Bengal,East Indian,1.5 hrs,Lightly spiced biryani with potatoes and boiled eggs,Non-Vegetarian,"Basmati Rice, Chicken, Potato, Egg, Saffron"
Lucknowi Biryani,,Uttar Pradesh,North Indian,1.5 hrs,Fragrant Awadhi biryani cooked with marinated meat,Non-Vegetarian,"Basmati Rice, Mutton, Yogurt, Spices"
Ambur Biryani,,Tamil Nadu,South Indian,1 hr,Tangy biryani with seeraga samba rice and dry chili,Non-Vegetarian,"Chicken, Seeraga Samba Rice, Curd, Dry Red Chili"
Dindigul Biryani,,Tamil Nadu,South Indian,1 hr,Spicy biryani made with small-grain rice,Non-Vegetarian,"Seeraga Samba Rice, Mutton, Pepper, Spices"
Thalassery Biryani,,Kerala,South Indian,1 hr,Unique biryani made with Kerala Kaima rice,Non-Vegetarian,"Kaima Rice, Chicken, Ghee, Spices"
Sindhi Biryani,,Sindh (Pakistan),Sindhi,1.5 hrs,Fiery biryani with yogurt and green chili,Non-Vegetarian,"Basmati Rice, Beef/Chicken, Yogurt, Potatoes, Mint"
Bombay Biryani,,Mumbai,West Indian,1.5 hrs,Flavored biryani with kewra,potato and fried onion,"Non-Vegetarian, Basmati Rice, Chicken, Kewra Water, Potatoes"
Beef Biryani,,Kerala/Kolkata,Indian,1.5 hrs,Rich biryani made with beef and spices,Non-Vegetarian,"Beef, Rice, Fried Onions, Spices"
Fish Biryani,,Coastal India,South Indian,1 hr,Spicy biryani using marinated fish,Non-Vegetarian,"Fish, Rice, Tomato, Green Chili, Spices"
Prawn Biryani,,Coastal India,Indian,1 hr,Seafood biryani made with marinated prawns,Non-Vegetarian,"Prawns, Rice, Tomato, Chili, Garam Masala"
Egg Biryani,,Pan India,Indian,1 hr,Biryani with boiled or fried eggs,Vegetarian,"Eggs, Rice, Yogurt, Fried Onion, Mint"
Mushroom Biryani,,Pan India,Indian,1 hr,Vegetarian biryani made with mushrooms,Vegetarian,"Mushroom, Basmati Rice, Tomato, Yogurt"
Paneer Biryani,,North India,Indian,1 hr,Cottage cheese cubes in spiced rice,Vegetarian,"Paneer, Rice, Tomato, Garam Masala, Yogurt"
Vegetable Biryani,,Pan India,Indian,1 hr,Mixed vegetables cooked with fragrant rice,Vegetarian,"Carrot, Beans, Peas, Rice, Yogurt"
Soya Chunk Biryani,,North India,Vegetarian,1 hr,High-protein biryani with soya nuggets,Vegan,"Soya Chunks, Rice, Tomato, Chili, Spices"
Jackfruit Biryani,,Karnataka,South Indian,1 hr,Raw jackfruit biryani resembling meat texture,Vegan,"Raw Jackfruit, Rice, Yogurt, Spices"
Kashmiri Biryani,,Jammu & Kashmir,North Indian,1.5 hrs,Delicately flavored biryani with dry fruits and saffron,Non-Vegetarian,"Mutton, Rice, Dry Fruits, Saffron"
Kathi Biryani,,Bengal,Indian,1.5 hrs,Roll-style biryani with egg or chicken wrapped in roti,Non-Vegetarian,"Basmati Rice, Chicken, Egg, Roti"
Iranian Biryani,,Iran,Persian,2 hrs,Origin of biryani with lamb,nuts,"and saffron, Non-Vegetarian, Lamb, Saffron, Dry Fruits, Rice"
Afghani Biryani,,Afghanistan,Afghani,1.5 hrs,Lighter,less spicy biryani with raisins and carrots,"Non-Vegetarian, Chicken, Rice, Carrot, Raisins"
Thai Biryani (Khao Mok Gai),,Thailand,Asian,1.5 hrs,Thai-style biryani with turmeric-flavored chicken,Non-Vegetarian,"Chicken, Jasmine Rice, Turmeric, Ginger"
Chettinad Biryani,,Tamil Nadu,South Indian,1.5 hrs,Fiery biryani with pepper and Chettinad spices,Non-Vegetarian,"Chicken, Seeraga Samba Rice, Curry Leaves"
Keema Biryani,,North India,Indian,1.5 hrs,Minced meat layered with rice and spices,Non-Vegetarian,"Keema, Basmati Rice, Onion, Garam Masala"
Kathal Biryani,,Uttar Pradesh,Indian,1.5 hrs,Spicy biryani using tender jackfruit,Vegetarian,"Raw Jackfruit, Rice, Yogurt, Mint"
Tomato Biryani,,South India,Vegetarian,30 mins,Tangy tomato rice biryani,Vegan,"Tomato, Rice, Mustard Seeds, Spices"
Tawa Biryani,,Street Style,Indian,20 mins,Quick biryani tossed on tawa with veggies,Vegan,"Rice, Onion, Capsicum, Masala"
Zafrani Biryani,,Mughlai,North Indian,1.5 hrs,Biryani rich with saffron milk and cream,Non-Vegetarian,"Mutton, Rice, Saffron, Milk, Nuts"
No-Onion Garlic Biryani,,South India,Satvik,45 mins,Vegetarian biryani made without onion or garlic,Vegetarian,"Carrot, Beans, Rice, Spices"
Quinoa Biryani,,Fusion,Fusion Healthy,45 mins,Healthy twist using quinoa instead of rice,Vegan,"Quinoa, Veggies, Tomato, Spices"
Brown Rice Biryani,,Fusion,Fusion Healthy,1 hr,Low-GI biryani made with brown rice,Vegetarian,"Brown Rice, Paneer/Veg, Spices, Onion"
